fid,name,realtype,markettype,useful,dtype,screen_no,unit,desc
10,현재가,주식시세,주식,True,int_abs,5001,0,
11,전일대비,주식시세,주식,False,int,,0,
12,등락율,주식시세,주식,True,pct,5001,0,
27,(최우선)매도호가,주식시세,주식,False,int_abs,5001,0,
28,(최우선)매수호가,주식시세,주식,False,int_abs,5001,0,
13,누적거래량,주식시세,주식,False,int_abs,5001,0,
14,누적거래대금,주식시세,주식,False,int_abs,5001,0,
16,시가,주식시세,주식,True,int_abs,,0,
17,고가,주식시세,주식,True,int_abs,5001,0,
18,저가,주식시세,주식,False,int_abs,5001,0,
25,전일대비기호,주식시세,주식,False,str,,0,
26,"전일거래량대비(계약,주)",주식시세,주식,False,int,5001,0,
29,거래대금증감,주식시세,주식,False,int,5001,0,
30,전일거래량대비(비율),주식시세,주식,False,pct,5001,0,
31,거래회전율,주식시세,주식,True,pct,5001,0,
32,거래비용,주식시세,주식,False,int_abs,,0,
311,시가총액(억),주식시세,주식,False,int_abs,,8,
567,상한가발생시간,주식시세,주식,False,time,,0,
568,하한가발생시간,주식시세,주식,False,time,,0,
20,체결시간,주식체결,주식,False,time,5001,0,
10,현재가,주식체결,주식,True,int_abs,5001,0,
11,전일대비,주식체결,주식,False,int,,0,
12,등락율,주식체결,주식,True,pct,5001,0,
27,(최우선)매도호가,주식체결,주식,False,int_abs,5001,0,
28,(최우선)매수호가,주식체결,주식,False,int_abs,5001,0,
15,거래량,주식체결,주식,False,int_abs,5001,0,
13,누적거래량,주식체결,주식,False,int_abs,5001,0,
14,누적거래대금,주식체결,주식,False,int_abs,5001,0,
16,시가,주식체결,주식,True,int_abs,,0,
17,고가,주식체결,주식,True,int_abs,5001,0,
18,저가,주식체결,주식,False,int_abs,5001,0,
25,전일대비기호,주식체결,주식,False,str,,0,
26,"전일거래량대비(계약,주)",주식체결,주식,False,int,5001,0,
29,거래대금증감,주식체결,주식,False,int,5001,0,
30,전일거래량대비(비율),주식체결,주식,False,pct,5001,0,
31,거래회전율,주식체결,주식,True,pct,5001,0,
32,거래비용,주식체결,주식,False,int_abs,,0,
228,체결강도,주식체결,주식,True,float,5001,0,
311,시가총액(억),주식체결,주식,False,int_abs,,8,
290,장구분,주식체결,주식,False,str,5001,0,
691,KO접근도,주식체결,주식,False,float,5001,0,
567,상한가발생시간,주식체결,주식,False,time,,0,
568,하한가발생시간,주식체결,주식,False,time,,0,
27,(최우선)매도호가,주식우선호가,주식,False,int_abs,5001,0,
28,(최우선)매수호가,주식우선호가,주식,False,int_abs,5001,0,
21,호가시간,주식호가잔량,주식,False,time,5001,0,
41,매도호가1,주식호가잔량,주식,True,int_abs,5001,0,=최우선매도호가
61,매도호가수량1,주식호가잔량,주식,True,int_abs,5001,0,
81,매도호가직전대비1,주식호가잔량,주식,False,int,,0,
51,매수호가1,주식호가잔량,주식,True,int_abs,5001,0,=최우선매수호가
71,매수호가수량1,주식호가잔량,주식,True,int_abs,5001,0,
91,매수호가직전대비1,주식호가잔량,주식,False,int,,0,
42,매도호가2,주식호가잔량,주식,False,int_abs,5001,0,
62,매도호가수량2,주식호가잔량,주식,False,int_abs,5001,0,
82,매도호가직전대비2,주식호가잔량,주식,False,int,,0,
52,매수호가2,주식호가잔량,주식,False,int_abs,5001,0,
72,매수호가수량2,주식호가잔량,주식,False,int_abs,5001,0,
92,매수호가직전대비2,주식호가잔량,주식,False,int,,0,
43,매도호가3,주식호가잔량,주식,False,int_abs,5001,0,
63,매도호가수량3,주식호가잔량,주식,False,int_abs,5001,0,
83,매도호가직전대비3,주식호가잔량,주식,False,int,,0,
53,매수호가3,주식호가잔량,주식,False,int_abs,5001,0,
73,매수호가수량3,주식호가잔량,주식,False,int_abs,5001,0,
93,매수호가직전대비3,주식호가잔량,주식,False,int,,0,
44,매도호가4,주식호가잔량,주식,False,int_abs,5001,0,
64,매도호가수량4,주식호가잔량,주식,False,int_abs,5001,0,
84,매도호가직전대비4,주식호가잔량,주식,False,int,,0,
54,매수호가4,주식호가잔량,주식,False,int_abs,5001,0,
74,매수호가수량4,주식호가잔량,주식,False,int_abs,5001,0,
94,매수호가직전대비4,주식호가잔량,주식,False,int,,0,
45,매도호가5,주식호가잔량,주식,False,int_abs,5001,0,
65,매도호가수량5,주식호가잔량,주식,False,int_abs,5001,0,
85,매도호가직전대비5,주식호가잔량,주식,False,int,,0,
55,매수호가5,주식호가잔량,주식,False,int_abs,5001,0,
75,매수호가수량5,주식호가잔량,주식,False,int_abs,5001,0,
95,매수호가직전대비5,주식호가잔량,주식,False,int,,0,
46,매도호가6,주식호가잔량,주식,False,int_abs,5001,0,
66,매도호가수량6,주식호가잔량,주식,False,int_abs,5001,0,
86,매도호가직전대비6,주식호가잔량,주식,False,int,,0,
56,매수호가6,주식호가잔량,주식,False,int_abs,5001,0,
76,매수호가수량6,주식호가잔량,주식,False,int_abs,5001,0,
96,매수호가직전대비6,주식호가잔량,주식,False,int,,0,
47,매도호가7,주식호가잔량,주식,False,int_abs,5001,0,
67,매도호가수량7,주식호가잔량,주식,False,int_abs,5001,0,
87,매도호가직전대비7,주식호가잔량,주식,False,int,,0,
57,매수호가7,주식호가잔량,주식,False,int_abs,5001,0,
77,매수호가수량7,주식호가잔량,주식,False,int_abs,5001,0,
97,매수호가직전대비7,주식호가잔량,주식,False,int,,0,
48,매도호가8,주식호가잔량,주식,False,int_abs,5001,0,
68,매도호가수량8,주식호가잔량,주식,False,int_abs,5001,0,
88,매도호가직전대비8,주식호가잔량,주식,False,int,,0,
58,매수호가8,주식호가잔량,주식,False,int_abs,5001,0,
78,매수호가수량8,주식호가잔량,주식,False,int_abs,5001,0,
98,매수호가직전대비8,주식호가잔량,주식,False,int,,0,
49,매도호가9,주식호가잔량,주식,False,int_abs,5001,0,
69,매도호가수량9,주식호가잔량,주식,False,int_abs,5001,0,
89,매도호가직전대비9,주식호가잔량,주식,False,int,,0,
59,매수호가9,주식호가잔량,주식,False,int_abs,5001,0,
79,매수호가수량9,주식호가잔량,주식,False,int_abs,5001,0,
99,매수호가직전대비9,주식호가잔량,주식,False,int,,0,
50,매도호가10,주식호가잔량,주식,False,int_abs,5001,0,
70,매도호가수량10,주식호가잔량,주식,False,int_abs,5001,0,
90,매도호가직전대비10,주식호가잔량,주식,False,int,,0,
60,매수호가10,주식호가잔량,주식,False,int_abs,5001,0,
80,매수호가수량10,주식호가잔량,주식,False,int_abs,5001,0,
100,매수호가직전대비10,주식호가잔량,주식,False,int,,0,
121,매도호가총잔량,주식호가잔량,주식,False,int_abs,5001,0,
122,매도호가총잔량직전대비,주식호가잔량,주식,False,int,5001,0,
125,매수호가총잔량,주식호가잔량,주식,False,int_abs,5001,0,
126,매수호가총잔량직전대비,주식호가잔량,주식,False,int,5001,0,
23,예상체결가,주식호가잔량,주식,False,int_abs,5001,0,
24,예상체결수량,주식호가잔량,주식,False,int_abs,5001,0,
128,순매수잔량,주식호가잔량,주식,False,int_abs,5001,0,
129,매수비율,주식호가잔량,주식,False,pct,5001,0,
138,순매도잔량,주식호가잔량,주식,False,int_abs,5001,0,
139,매도비율,주식호가잔량,주식,False,pct,5001,0,
200,예상체결가전일종가대비,주식호가잔량,주식,False,int,5001,0,
201,예상체결가전일종가대비등락율,주식호가잔량,주식,False,pct,5001,0,
238,예상체결가전일종가대비기호,주식호가잔량,주식,False,str,5001,0,
291,예상체결가,주식호가잔량,주식,False,int_abs,5001,0,
292,예상체결량,주식호가잔량,주식,False,int_abs,5001,0,
293,예상체결가전일대비기호,주식호가잔량,주식,False,str,,0,
294,예상체결가전일대비,주식호가잔량,주식,False,int,,0,
295,예상체결가전일대비등락율,주식호가잔량,주식,False,pct,,0,
621,LP매도호가수량1,주식호가잔량,주식,True,int_abs,,0,
631,LP매수호가수량1,주식호가잔량,주식,True,int_abs,,0,
622,LP매도호가수량2,주식호가잔량,주식,False,int_abs,,0,
632,LP매수호가수량2,주식호가잔량,주식,False,int_abs,,0,
623,LP매도호가수량3,주식호가잔량,주식,False,int_abs,,0,
633,LP매수호가수량3,주식호가잔량,주식,False,int_abs,,0,
624,LP매도호가수량4,주식호가잔량,주식,False,int_abs,,0,
634,LP매수호가수량4,주식호가잔량,주식,False,int_abs,,0,
625,LP매도호가수량5,주식호가잔량,주식,False,int_abs,,0,
635,LP매수호가수량5,주식호가잔량,주식,False,int_abs,,0,
626,LP매도호가수량6,주식호가잔량,주식,False,int_abs,,0,
636,LP매수호가수량6,주식호가잔량,주식,False,int_abs,,0,
627,LP매도호가수량7,주식호가잔량,주식,False,int_abs,,0,
637,LP매수호가수량7,주식호가잔량,주식,False,int_abs,,0,
628,LP매도호가수량8,주식호가잔량,주식,False,int_abs,,0,
638,LP매수호가수량8,주식호가잔량,주식,False,int_abs,,0,
629,LP매도호가수량9,주식호가잔량,주식,False,int_abs,,0,
639,LP매수호가수량9,주식호가잔량,주식,False,int_abs,,0,
630,LP매도호가수량10,주식호가잔량,주식,False,int_abs,,0,
640,LP매수호가수량10,주식호가잔량,주식,False,int_abs,,0,
13,누적거래량,주식호가잔량,주식,False,int_abs,5001,0,
299,전일거래량대비예상체결률,주식호가잔량,주식,False,pct,5001,0,
215,장운영구분,주식호가잔량,주식,False,str,5001,0,
216,투자자별ticker,주식호가잔량,주식,False,str,,0,
21,호가시간,주식시간외호가,주식,False,time,,0,
131,시간외매도호가총잔량,주식시간외호가,주식,False,int_abs,,0,
132,시간외매도호가총잔량직전대비,주식시간외호가,주식,False,int,,0,
135,시간외매수호가총잔량,주식시간외호가,주식,False,int_abs,,0,
136,시간외매수호가총잔량직전대비,주식시간외호가,주식,False,int,,0,
141,매도거래원1,주식당일거래원,주식,False,str,5002,0,
161,매도거래원수량1,주식당일거래원,주식,False,int_abs,5002,0,
166,매도거래원별증감1,주식당일거래원,주식,False,int,,0,
146,매도거래원코드1,주식당일거래원,주식,False,str,,0,
271,매도거래원색깔1,주식당일거래원,주식,False,str,,0,
151,매수거래원1,주식당일거래원,주식,False,str,5002,0,
171,매수거래원수량1,주식당일거래원,주식,False,int_abs,5002,0,
176,매수거래원별증감1,주식당일거래원,주식,False,int,,0,
156,매수거래원코드1,주식당일거래원,주식,False,str,,0,
281,매수거래원색깔1,주식당일거래원,주식,False,str,,0,
142,매도거래원2,주식당일거래원,주식,False,str,5002,0,
162,매도거래원수량2,주식당일거래원,주식,False,int_abs,5002,0,
167,매도거래원별증감2,주식당일거래원,주식,False,int,,0,
147,매도거래원코드2,주식당일거래원,주식,False,str,,0,
272,매도거래원색깔2,주식당일거래원,주식,False,str,,0,
152,매수거래원2,주식당일거래원,주식,False,str,5002,0,
172,매수거래원수량2,주식당일거래원,주식,False,int_abs,5002,0,
177,매수거래원별증감2,주식당일거래원,주식,False,int,,0,
157,매수거래원코드2,주식당일거래원,주식,False,str,,0,
282,매수거래원색깔2,주식당일거래원,주식,False,str,,0,
143,매도거래원3,주식당일거래원,주식,False,str,5002,0,
163,매도거래원수량3,주식당일거래원,주식,False,int_abs,5002,0,
168,매도거래원별증감3,주식당일거래원,주식,False,int,,0,
148,매도거래원코드3,주식당일거래원,주식,False,str,,0,
273,매도거래원색깔3,주식당일거래원,주식,False,str,,0,
153,매수거래원3,주식당일거래원,주식,False,str,5002,0,
173,매수거래원수량3,주식당일거래원,주식,False,int_abs,5002,0,
178,매수거래원별증감3,주식당일거래원,주식,False,int,,0,
158,매수거래원코드3,주식당일거래원,주식,False,str,,0,
283,매수거래원색깔3,주식당일거래원,주식,False,str,,0,
144,매도거래원4,주식당일거래원,주식,False,str,5002,0,
164,매도거래원수량4,주식당일거래원,주식,False,int_abs,5002,0,
169,매도거래원별증감4,주식당일거래원,주식,False,int,,0,
149,매도거래원코드4,주식당일거래원,주식,False,str,,0,
274,매도거래원색깔4,주식당일거래원,주식,False,str,,0,
154,매수거래원4,주식당일거래원,주식,False,str,5002,0,
174,매수거래원수량4,주식당일거래원,주식,False,int_abs,5002,0,
179,매수거래원별증감4,주식당일거래원,주식,False,int,,0,
159,매수거래원코드4,주식당일거래원,주식,False,str,,0,
284,매수거래원색깔4,주식당일거래원,주식,False,str,,0,
145,매도거래원5,주식당일거래원,주식,False,str,5002,0,
165,매도거래원수량5,주식당일거래원,주식,False,int_abs,5002,0,
170,매도거래원별증감5,주식당일거래원,주식,False,int,,0,
150,매도거래원코드5,주식당일거래원,주식,False,str,,0,
275,매도거래원색깔5,주식당일거래원,주식,False,str,,0,
155,매수거래원5,주식당일거래원,주식,False,str,5002,0,
175,매수거래원수량5,주식당일거래원,주식,False,int_abs,5002,0,
180,매수거래원별증감5,주식당일거래원,주식,False,int,,0,
160,매수거래원코드5,주식당일거래원,주식,False,str,,0,
285,매수거래원색깔5,주식당일거래원,주식,False,str,,0,
261,외국계매도추정합,주식당일거래원,주식,False,int,5002,0,
262,외국계매도추정합변동,주식당일거래원,주식,False,int,5002,0,
263,외국계매수추정합,주식당일거래원,주식,False,int,5002,0,
264,외국계매수추정합변동,주식당일거래원,주식,False,int,5002,0,
267,외국계순매수추정합,주식당일거래원,주식,False,int,5002,0,
268,외국계순매수변동,주식당일거래원,주식,False,str,5002,0,
337,거래소구분,주식당일거래원,주식,False,str,5002,0,
36,NAV,ETF NAV,증권상품,False,str,,0,
37,NAV전일대비,ETF NAV,증권상품,False,int,,0,
38,NAV등락율,ETF NAV,증권상품,False,pct,,0,
39,추적오차율,ETF NAV,증권상품,False,pct,,0,
20,체결시간,ETF NAV,증권상품,False,time,,0,
10,현재가,ETF NAV,증권상품,False,int_abs,,0,
11,전일대비,ETF NAV,증권상품,False,int,,0,
12,등락율,ETF NAV,증권상품,False,pct,,0,
13,누적거래량,ETF NAV,증권상품,False,int_abs,,0,
25,전일대비기호,ETF NAV,증권상품,False,str,,0,
667,ELW기어링비율,ETF NAV,증권상품,False,pct,,0,
668,ELW손익분기율,ETF NAV,증권상품,False,pct,,0,
669,ELW자본지지점,ETF NAV,증권상품,False,str,,0,
265,NAV/지수괴리율,ETF NAV,증권상품,False,pct,,0,
266,NAV/ETF괴리율,ETF NAV,증권상품,False,pct,,0,
20,체결시간,ELW 지표,증권상품,False,time,,0,
666,ELW패리티,ELW 지표,증권상품,False,str,,0,
1211,ELW프리미엄,ELW 지표,증권상품,False,str,,0,
667,ELW기어링비율,ELW 지표,증권상품,False,pct,,0,
668,ELW손익분기율,ELW 지표,증권상품,False,pct,,0,
669,ELW자본지지점,ELW 지표,증권상품,False,str,,0,
20,체결시간,ELW 이론가,증권상품,False,time,,0,
10,현재가,ELW 이론가,증권상품,False,int_abs,,0,
670,ELW이론가,ELW 이론가,증권상품,False,int_abs,,0,
671,ELW내재변동성,ELW 이론가,증권상품,False,str,,0,
672,ELW델타,ELW 이론가,증권상품,False,str,,0,
673,ELW감마,ELW 이론가,증권상품,False,float,,0,
674,ELW쎄타,ELW 이론가,증권상품,False,str,,0,
675,ELW베가,ELW 이론가,증권상품,False,int_abs,,0,
676,ELW로,ELW 이론가,증권상품,False,float,,0,
706,LP호가내재변동성,ELW 이론가,증권상품,False,str,,0,
20,체결시간,주식예상체결,주식,False,time,5003,0,
10,현재가,주식예상체결,주식,True,int_abs,5003,0,
11,전일대비,주식예상체결,주식,False,int,,0,
12,등락율,주식예상체결,주식,True,pct,5003,0,
15,거래량,주식예상체결,주식,False,int_abs,5003,0,
13,누적거래량,주식예상체결,주식,False,int_abs,5003,0,
25,전일대비기호,주식예상체결,주식,False,str,,0,
297,임의연장,주식종목정보,주식,False,str,,0,
592,장전임의연장,주식종목정보,주식,False,str,,0,
593,장후임의연장,주식종목정보,주식,False,str,,0,
305,상한가,주식종목정보,주식,False,int_abs,,0,
306,하한가,주식종목정보,주식,False,int_abs,,0,
307,기준가,주식종목정보,주식,False,int_abs,,0,
689,조기종료ELW발생,주식종목정보,주식,False,str,,0,
594,통화단위,주식종목정보,주식,False,str,,0,
382,증거금율표시,주식종목정보,주식,False,str,,0,
370,종목정보,주식종목정보,주식,False,str,,0,
10,현재가,선물옵션우선호가,파생상품,False,int_abs,,0,
27,(최우선)매도호가,선물옵션우선호가,파생상품,False,int_abs,,0,
28,(최우선)매수호가,선물옵션우선호가,파생상품,False,int_abs,,0,
20,체결시간,선물시세,파생상품,False,time,,0,
10,현재가,선물시세,파생상품,False,int_abs,,0,
11,전일대비,선물시세,파생상품,False,int,,0,
12,등락율,선물시세,파생상품,False,pct,,0,
27,(최우선)매도호가,선물시세,파생상품,False,int_abs,,0,
28,(최우선)매수호가,선물시세,파생상품,False,int_abs,,0,
15,거래량,선물시세,파생상품,False,int_abs,,0,
13,누적거래량,선물시세,파생상품,False,int_abs,,0,
14,누적거래대금,선물시세,파생상품,False,int_abs,,0,
16,시가,선물시세,파생상품,False,int_abs,,0,
17,고가,선물시세,파생상품,False,int_abs,,0,
18,저가,선물시세,파생상품,False,int_abs,,0,
195,미결제약정,선물시세,파생상품,False,str,,0,
182,이론가,선물시세,파생상품,False,int_abs,,0,
184,이론베이시스,선물시세,파생상품,False,str,,0,
183,시장베이시스,선물시세,파생상품,False,str,,0,
186,괴리율,선물시세,파생상품,False,pct,,0,
181,미결제약정전일대비,선물시세,파생상품,False,int,,0,
185,괴리도,선물시세,파생상품,False,float,,0,
25,전일대비기호,선물시세,파생상품,False,str,,0,
197,KOSPI200,선물시세,파생상품,False,str,,0,
26,"전일거래량대비(계약,주)",선물시세,파생상품,False,int,,0,
246,시초미결제약정수량,선물시세,파생상품,False,int_abs,,0,
247,최고미결제약정수량,선물시세,파생상품,False,int_abs,,0,
248,최저미결제약정수량,선물시세,파생상품,False,int_abs,,0,
30,전일거래량대비(비율),선물시세,파생상품,False,pct,,0,
196,미결제증감,선물시세,파생상품,False,int,,0,
1365,실시간상한가,선물시세,파생상품,False,int_abs,,0,
1366,실시간하한가,선물시세,파생상품,False,int_abs,,0,
1367,협의대량누적체결수량,선물시세,파생상품,False,int_abs,,0,
305,상한가,선물시세,파생상품,False,int_abs,,0,
306,하한가,선물시세,파생상품,False,int_abs,,0,
21,호가시간,선물호가잔량,파생상품,False,time,,0,
27,(최우선)매도호가,선물호가잔량,파생상품,False,int_abs,,0,
28,(최우선)매수호가,선물호가잔량,파생상품,False,int_abs,,0,
41,매도호가1,선물호가잔량,파생상품,False,int_abs,,0,
61,매도호가수량1,선물호가잔량,파생상품,False,int_abs,,0,
81,매도호가직전대비1,선물호가잔량,파생상품,False,int,,0,
101,매도호가건수1,선물호가잔량,파생상품,False,int_abs,,0,
51,매수호가1,선물호가잔량,파생상품,False,int_abs,,0,
71,매수호가수량1,선물호가잔량,파생상품,False,int_abs,,0,
